Word Number,Word/Phrase,Circle Count,Single Underline Count,Double Underline Count,Wavy Underline Count
247,difficult,0,0,0,0
248,the,1,0,0,0
249,journey,0,0,1,0
250,is,1,0,0,0
251,those,0,0,0,0
252,who,1,0,0,0
253,keep,1,0,0,0
254,going,0,0,0,0
255,will,0,0,0,0
256,eventually,0,0,0,0
257,reach,1,1,0,0
258,their,0,1,0,0
259,goals,1,0,0,0
